unnamed:_0,janvier,février,mars,avril,mai,juin,juillet,août,septembre,octobre,novembre,décembre,année
1998,3:27:00,3:24:00,3:14:00,3:12:00,2:47:00,3:01:00,2:51:00,2:23:00,2:56:00,3:12:00,3:23:00,3:26:00,3:07:00
1999,3:29:00,3:36:00,3:19:00,3:13:00,2:59:00,2:56:00,2:41:00,2:28:00,2:57:00,3:12:00,3:30:00,3:27:00,3:09:00
2000,3:26:00,3:23:00,3:20:00,3:16:00,3:03:00,3:06:00,2:57:00,2:40:00,3:12:00,3:20:00,3:35:00,3:30:00,3:13:00
2001,3:40:00,3:33:00,3:24:00,3:22:00,3:10:00,3:01:00,2:54:00,2:41:00,3:17:00,3:22:00,3:36:00,3:40:00,3:17:00
2002,3:42:00,3:42:00,3:20:00,3:23:00,3:19:00,3:10:00,2:56:00,2:47:00,3:10:00,3:27:00,3:42:00,3:37:00,3:20:00
2003,3:46:00,3:39:00,3:24:00,3:16:00,3:14:00,3:00:00,2:56:00,2:50:00,3:09:00,3:30:00,3:43:00,3:42:00,3:22:00
2004,3:43:00,3:41:00,3:34:00,3:24:00,3:13:00,3:12:00,3:01:00,2:59:00,3:12:00,3:27:00,3:42:00,3:40:00,3:24:00
2005,3:43:00,3:52:00,3:35:00,3:28:00,3:20:00,3:09:00,3:05:00,2:54:00,3:18:00,3:26:00,3:45:00,3:45:00,3:26:00
2006,3:44:00,3:52:00,3:39:00,3:20:00,3:17:00,3:14:00,2:59:00,2:56:00,3:12:00,3:22:00,3:39:00,3:39:00,3:24:00
2007,3:48:00,3:45:00,3:36:00,3:17:00,3:30:00,3:19:00,3:11:00,2:57:00,3:19:00,3:26:00,3:42:00,3:39:00,3:27:00
2008,3:42:00,3:33:00,3:33:00,3:27:00,3:16:00,3:13:00,2:59:00,2:59:00,3:12:00,3:29:00,3:47:00,3:43:00,3:24:00
2009,3:48:00,3:41:00,3:29:00,3:22:00,3:12:00,3:11:00,3:02:00,2:48:00,3:18:00,3:28:00,3:45:00,3:48:00,3:25:00
2010,3:50:00,3:51:00,3:41:00,3:26:00,3:22:00,3:21:00,3:05:00,2:53:00,3:22:00,3:38:00,3:53:00,4:01:00,3:32:00
2011¹,3:57:00,3:56:00,3:54:00,3:36:00,3:39:00,3:42:00,3:34:00,3:17:00,3:44:00,3:55:00,4:04:00,4:07:00,3:47:00
2012,4:07:00,4:16:00,3:59:00,4:02:00,3:53:00,3:42:00,3:27:00,3:19:00,3:34:00,3:45:00,4:01:00,3:58:00,3:50:00
2013,4:08:00,4:04:00,3:59:00,3:49:00,3:49:00,3:37:00,3:19:00,3:13:00,3:34:00,3:48:00,4:01:00,3:55:00,3:46:00
2014²,4:01:00,4:00:00,3:45:00,3:37:00,3:38:00,3:31:00,3:26:00,3:13:00,3:23:00,3:42:00,3:57:00,3:57:00,3:41:00
2015,4:05:00,4:00:00,3:51:00,3:41:00,3:36:00,3:26:00,3:22:00,3:16:00,3:34:00,3:48:00,4:02:00,4:00:00,3:44:00
2016³,4:01:00,4:03:00,3:51:00,3:41:00,3:36:00,3:39:00,3:22:00,3:17:00,3:29:00,3:42:00,3:59:00,3:57:00,3:43:00
2017,4:04:00,3:58:00,3:49:00,3:40:00,3:42:00,3:31:00,3:20:00,3:13:00,3:36:00,3:39:00,3:54:00,3:58:00,3:42:00
20184,4:09:00,4:10:00,4:02:00,3:47:00,3:41:00,3:36:00,3:28:00,3:13:00,3:28:00,3:41:00,4:01:00,4:02:00,3:46:00
2019,4:03:00,3:50:00,3:45:00,3:40:00,3:38:00,3:31:00,3:19:00,3:09:00,3:27:00,3:45:00,3:54:00,3:56:00,3:40:00
2020,3:53:00,3:50:00,4:29:00,4:40:00,4:03:00,3:43:00,3:21:00,3:21:00,3:36:00,3:56:00,4:23:00,4:11:00,3:58:00
2021,4h06',4h03',3h57',3h59',3h43',3h27',3h29',3h24',3h23',3h22',3h41',3h44',3h41'
2022,3h43',3h43',3h35',3h27',3h17',3h13',3h09',3h02',3h19',3h24',3h39',3h42',3h26'
2023,3h32',3h29',3h30',3h20',3h13',3h03',3h07',3h04',3h12',3h22',3h32',3h25',3h19'
2024,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
