unnamed:_0,4-10_ans,11-14_ans,4-14_ans,15-24_ans,25-59_ans,25-34_ans,35-49_ans,15-49_ans,50_ans_et_plus
1998,1:58:00,2:17:00,-,2:12:00,-,2:57:00,2:59:00,-,4:03:00
1999,2:02:00,2:21:00,-,2:11:00,-,3:03:00,3:01:00,-,4:02:00
2000,2:05:00,2:21:00,-,2:05:00,3:14:00,-,-,-,-
2001,2:11:00,2:24:00,-,2:08:00,3:19:00,-,-,-,-
2002,2:14:00,2:25:00,-,2:10:00,3:22:00,-,-,-,-
2003,2:11:00,2:23:00,-,2:02:00,3:23:00,-,-,-,-
2004,2:10:00,2:17:00,-,2:07:00,3:29:00,-,-,-,-
2005,2:10:00,2:14:00,-,2:05:00,3:30:00,-,-,-,-
2006,2:07:00,2:05:00,-,1:58:00,3:29:00,-,-,-,-
2007,2:13:00,2:11:00,-,2:02:00,3:30:00,-,-,-,-
2008,2:13:00,2:09:00,-,1:53:00,3:27:00,-,-,-,-
2009,-,-,2:11:00,-,-,-,-,2:59:00,4:26:00
2010,-,-,2:12:00,-,-,-,-,3:05:00,4:34:00
2011¹,-,-,2:18:00,-,-,-,-,3:16:00,4:59:00
2012,-,-,2:15:00,-,-,-,-,3:19:00,5:02:00
2013,-,-,2:09:00,-,-,-,-,3:11:00,5:02:00
2014²,-,-,1:58:00,-,-,-,-,3:03:00,5:02:00
2015,-,-,1:56:00,-,-,-,-,3:02:00,5:07:00
2016³,-,-,1:53:00,-,-,-,-,3:01:00,5:07:00
2017,-,-,1:46:00,-,-,-,-,2:54:00,5:12:00
2018,-,-,1:39:00,-,-,-,-,2:42:00,5:13:00
2019,-,-,1:28:00,-,-,-,-,2:30:00,5:12:00
20204,-,-,1:28:00,-,-,-,-,2:46:00,5:46:00
2021,,,1h10',,,,,2h25',5h38'
2022,-,-,1h01',-,-,-,-,2h06',5h23'
2023,-,-,0h58',-,-,-,-,1h55',5h16'
2024,-,-,nd,-,-,-,-,nd,nd
