,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,132,137,139,141,125,159,155,165,144,132,114,125,122,125,131,128,141,169,179,179,188,161,167.0,175.0,171.0,149.0,160.0,114.0,131.0,138.0,110.0,87.0,82.0,63.0,62.0
France,55,62,62,66,55,71,59,74,68,71,58,52,53,59,62,59,54,66,55,53,62,45,42.0,48.0,48.0,28.0,28.0,19.0,26.0,44.0,36.0,40.0,21.0,24.0,15.0
France,77,75,77,75,69,76,78,75,72,60,56,70,68,65,65,59,63,64,77,79,86,67,79.0,64.0,58.0,51.0,56.0,29.0,40.0,23.0,31.0,37.0,41.0,26.0,30.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,24,40,49,49,47,49,53.0,51.0,50.0,56.0,55.0,51.0,50.0,40.0,26.0,5.0,10.0,2.0,7.0
France,-,-,-,-,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,2,2,1,,,1.0,,8.0,5.0,10.0,28.0,19.0,8.0,11.0,11.0,10.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,18.0,18.0,15.0,19.0,16.0,11.0,12.0,5.0,,,,
Groupe TF,42,41,46,65,67,70,66,77,76,76,76,77,76,76,74,141,188,178,173,197,182,184,195.0,231.0,216.0,219.0,220.0,207.0,189.0,186.0,191.0,181.0,203.0,192.0,187.0
TF,42,41,46,65,67,70,66,77,76,76,76,77,76,76,74,80,74,77,71,77,61,61,59.0,62.0,66.0,68.0,80.0,69.0,63.0,58.0,77.0,61.0,58.0,58.0,68.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,56,66,63,73,76,77,72.0,75.0,56.0,69.0,69.0,67.0,57.0,46.0,56.0,59.0,64.0,63.0,53.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,61,54,64,64,69,74,81.0,73.0,69.0,62.0,61.0,51.0,52.0,57.0,33.0,49.0,63.0,62.0,53.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,57.0,59.0,55.0,60.0,58.0,60.0,55.0,46.0,56.0,61.0,57.0,58.0
Groupe M,55,50,62,67,72,71,73,73,76,70,64,62,62,64,62,69,83,94,96,102,115,107,138.0,168.0,190.0,183.0,165.0,178.0,152.0,153.0,177.0,172.0,164.0,181.0,170.0
M,55,50,62,67,72,71,73,73,76,70,64,62,62,64,62,65,55,57,53,47,56,40,44.0,39.0,53.0,53.0,40.0,46.0,40.0,38.0,44.0,45.0,43.0,42.0,37.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,33,38,41,41,58,55,65.0,60.0,63.0,58.0,57.0,58.0,58.0,56.0,63.0,59.0,56.0,63.0,60.0
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,56.0,65.0,60.0,62.0,68.0,59.0,58.0,67.0,63.0,54.0,66.0,66.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,7,19,16,24,34.0,46.0,40.0,36.0,28.0,29.0,19.0,24.0,34.0,32.0,40.0,41.0,42.0
Groupe Canal+,143,156,169,159,163,168,163,155,160,151,150,160,134,131,147,174,187,168,212,188,218,235,198.0,220.0,207.0,216.0,198.0,177.0,173.0,178.0,205.0,169.0,139.0,153.0,118.0
Canal+,143,156,169,159,163,168,163,155,160,151,150,160,134,131,147,142,152,147,155,125,130,128,114.0,134.0,118.0,130.0,122.0,98.0,101.0,119.0,145.0,99.0,77.0,86.0,67.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,35,21,32,45,58,50,63.0,72.0,71.0,68.0,62.0,64.0,57.0,46.0,43.0,57.0,54.0,47.0,35.0
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,25,18,32,57,21.0,17.0,19.0,20.0,20.0,20.0,19.0,24.0,24.0,21.0,14.0,25.0,20.0
NRJ Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,31,83,77,65,60,66.0,53.0,50.0,103.0,106.0,99.0,81.0,75.0,70.0,74.0,50.0,50.0,45.0
NRJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,31,83,77,65,60,66.0,43.0,36.0,55.0,55.0,44.0,35.0,33.0,30.0,31.0,23.0,22.0,21.0
Chérie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,14.0,15.0,56.0,57.0,57.0,48.0,43.0,41.0,43.0,27.0,28.0,25.0
Altice Media,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,56.0,76.0,69.0,23.0,20.0,19.0,9.0,1.0,,,,
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,1.0,,,,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,55.0,75.0,69.0,23.0,20.0,19.0,9.0,1.0,,,,
autres chaînes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arte,-,0,4,25,31,42,50,60,58,53,54,54,58,58,78,62,79,87,80,85,75,80,99.0,104.0,96.0,94.0,101.0,87.0,102.0,108.0,107.0,107.0,98.0,103.0,107.0
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,1,4,2,1,1.0,1.0,4.0,2.0,3.0,1.0,4.0,,1.0,5.0,,,
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,10.0,7.0,,,,2.0,9.0,15.0,15.0,10.0,24.0
total,435,453,436,457,458,509,507,529,513,482,456,477,451,454,489,570,674,715,794,794,801,790,819.0,958.0,957.0,975.0,914.0,836.0,817.0,802.0,816.0,774.0,719.0,722.0,683.0
sous-total chaînes nationales publiques,132,137,143,166,156,201,205,224,202,185,167,178,180,183,209,191,222,255,259,265,263,241,266.0,278.0,270.0,243.0,261.0,200.0,233.0,245.0,217.0,198.0,178.0,166.0,166.0
sous-total chaînes nationales privées gratuites,163,160,124,132,139,141,139,150,152,146,140,139,138,140,136,240,306,319,398,417,425,434,454.0,564.0,593.0,619.0,554.0,550.0,495.0,461.0,483.0,497.0,479.0,482.0,456.0
sous-total chaînes nationales payantes,143,156,169,159,163,168,163,155,160,151,150,160,134,131,147,142,152,147,155,125,130,128,114.0,134.0,118.0,130.0,122.0,98.0,101.0,119.0,145.0,99.0,77.0,85.0,67.0
