unnamed:_0,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
films ,5.5,5.2,5.0,4.8,4.9,4.8,4.8,4.8,4.6,4.6,4.6,4.7,4.3,4.2,4.2,4.0,3.8,3.8,3.5,3.4,3.0,3.0,3.0,3.0,3.2,3.2,3.8
fictions TV,21.9,21.5,20.5,20.6,18.7,17.9,17.7,19.3,18.9,18.7,18.8,18.1,16.3,25.5,25.6,23.0,24.9,24.6,24.2,23.2,21.0,21.0,21.0,19.0,21.0,20.0,19.3
jeux,4.8,4.0,3.8,4.7,5.8,7.1,7.1,6.0,6.2,7.2,8.0,8.2,8.1,3.8,3.8,4.1,3.5,4.7,3.5,3.3,3.0,3.0,3.0,3.0,3.3,4.0,4.0
variétés,9.1,8.4,8.6,8.0,7.8,7.0,7.7,7.2,7.3,6.7,5.6,5.4,5.5,7.1,6.9,10.3,8.1,7.6,7.2,7.3,8.0,8.0,7.0,7.0,7.3,7.3,7.4
journaux télévisés,5.7,5.4,5.6,6.0,5.7,6.0,6.0,6.2,5.9,5.8,5.5,5.6,5.2,2.3,2.3,2.1,1.5,2.3,2.3,2.2,2.0,2.0,2.0,2.0,2.1,2.1,2.2
magazines et documentaires,27.0,29.8,31.5,32.6,33.8,33.2,31.0,31.4,30.8,31.0,32.4,33.3,36.3,29.6,30.8,30.5,32.3,32.3,34.7,35.5,36.0,36.0,37.0,37.0,38.0,39.0,39.2
sport,4.2,3.2,3.9,3.2,3.6,2.9,3.2,2.5,3.2,2.5,3.2,2.4,3.2,2.0,1.9,1.3,1.6,1.5,1.6,1.2,1.0,1.0,1.0,1.0,1.1,1.1,1.6
émissions jeunesse,7.8,8.1,8.1,7.6,6.9,7.9,8.0,8.3,8.6,9.0,8.5,9.0,8.0,10.0,9.7,9.2,8.6,8.1,7.6,7.9,9.0,9.0,10.0,9.0,6.0,6.0,6.3
publicité,7.5,7.7,7.2,6.6,7.0,7.2,7.3,7.1,7.1,7.2,6.6,6.4,6.9,7.7,7.6,8.3,9.5,9.6,9.4,10.0,11.0,11.0,9.0,11.0,12.0,12.0,10.8
autres,6.5,6.7,5.9,5.8,5.9,5.9,7.1,7.2,7.3,7.3,6.8,6.9,6.2,7.8,7.2,7.2,6.2,5.5,6.0,6.0,5.0,5.0,6.0,7.0,6.1,5.0,5.4
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,99.99999999999999,99.99999999999999,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0
